Serial,Drive Leter,Path,Event Occured,Time
1,G,G:\New Text Document.txt,deleted,2018-11-10 21:42:13
2,G,G:\New Text Document (2).txt,deleted,2018-11-10 21:42:13
3,G,G:\New Text Document (3).txt,deleted,2018-11-10 21:42:14
4,G,G:\New Text Document.txt,created,2018-11-10 21:42:24
5,G,G:\New Text Document.txt,modified,2018-11-10 21:42:24
6,G,G:\New Text Document (2).txt,created,2018-11-10 21:42:30
7,G,G:\New Text Document (2).txt,modified,2018-11-10 21:42:30
8,G,G:\New Text Document (2).txt,moved,2018-11-10 21:42:32
9,G,G:\e.txt,moved,2018-11-10 21:42:52
10,G,G:\asd.txt,modified,2018-11-10 21:43:04
11,G,G:\asd.txt,modified,2018-11-10 21:43:04
12,G,G:\New Text Document.txt,moved,2018-11-10 21:43:25
