Serial,Drive Leter,Drive Name,Drive Serial,Start Time,End Time
1,G,UUI,B285D6BD,2018-11-05 15:24:16,2018-11-05 15:24:20
2,G,UUI,B285D6BD,2018-11-05 15:24:24,2018-11-05 15:24:27
3,G,UUI,B285D6BD,2018-11-10 21:02:45,2018-11-10 21:02:47
4,G,UUI,B285D6BD,2018-11-10 21:02:56,2018-11-10 21:03:14
5,G,UUI,B285D6BD,2018-11-10 21:03:25,2018-11-10 21:15:28
6,G,UUI,B285D6BD,2018-11-10 21:15:48,2018-11-10 21:15:53
7,G,UUI,B285D6BD,2018-11-10 21:18:18,2018-11-10 21:18:23
8,G,UUI,B285D6BD,2018-11-10 21:23:37,2018-11-10 21:23:39
9,G,UUI,B285D6BD,2018-11-10 21:24:04,2018-11-10 21:24:09
10,G,UUI,B285D6BD,2018-11-10 21:28:35,2018-11-10 21:28:39
11,G,UUI,B285D6BD,2018-11-10 21:28:46,2018-11-10 21:28:57
12,G,UUI,B285D6BD,2018-11-10 21:31:40,2018-11-10 21:31:45
13,G,UUI,B285D6BD,2018-11-10 21:40:47,2018-11-10 21:40:52
14,G,UUI,B285D6BD,2018-11-10 21:41:47,2018-11-10 21:43:36
